Id,Lable,Name,Sex
PER_73547,PER_73547,Nechoutes,Male
PER_78209,PER_78209,Panachtes,Male
PER_222_64893_73113_75668_75672_79411_117843_297462_351313_430889,PER_222_64893_73113_75668_75672_79411_117843_297462_351313_430889,Peteharsomtous,Male
PER_223_11272_62895_70046_75676_77898_77921_79405_116633_117840_117842_331095_351314_430888,PER_223_11272_62895_70046_75676_77898_77921_79405_116633_117840_117842_331095_351314_430888,Pakebkis,Male
PER_48572,PER_48572,Petesouchos,Male
PER_48573,PER_48573,Herianoupis,Male
PER_46419,PER_46419,Sochotes,Male
PER_46420,PER_46420,Harsiesis,Male
PER_48576,PER_48576,Nechoutes,Male
PER_48577,PER_48577,Pelaias,Male
PER_48578_76457,PER_48578_76457,Peteharsomtous,Male
PER_48579_79881,PER_48579_79881,Psenesis,Male
PER_48580,PER_48580,Peteharsomtous,Male
PER_48581,PER_48581,Nechoutes,Male
PER_48582,PER_48582,Teos,Male
PER_48583,PER_48583,Sisouchos,Male
PER_48584_49585,PER_48584_49585,Thrason,Male
PER_48585_49586,PER_48585_49586,Nechoutes,Male
PER_48586,PER_48586,Pakebkis,Male
PER_48587,PER_48587,Sochotes,Male
PER_11755,PER_11755,Pachrates,Male
PER_73558,PER_73558,Thotortaios,Male
PER_11759,PER_11759,Pachrates,Male
PER_73559,PER_73559,Peteharsomtous,Male
PER_15060,PER_15060,Psenmenches,Male
PER_73560,PER_73560,Panachtes,Male
PER_15025,PER_15025,Psenesis,Male
PER_73561,PER_73561,Kephalon,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_48620,PER_48620,NN,Male
PER_48621,PER_48621,Psenmonthes,Male
PER_48622,PER_48622,Psen-...,Male
PER_48623,PER_48623,Nechoutes,Male
PER_73563,PER_73563,Espnoutis,Male
PER_78213,PER_78213,Onnophris,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_53861_54564_73592_73595_73602_76408,PER_53861_54564_73592_73595_73602_76408,Nechoutis,Female
PER_54452_73543_78230,PER_54452_73543_78230,Pates,Male
PER_53728_73593_73594,PER_53728_73593_73594,Psenesis,Male
PER_54285_78234,PER_54285_78234,Pates (or Patous),Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_53728_73593_73594,PER_53728_73593_73594,Psenesis,Male
PER_53861_54564_73592_73595_73602_76408,PER_53861_54564_73592_73595_73602_76408,Nechoutis,Female
PER_53728_73593_73594,PER_53728_73593_73594,Psenesis,Male
PER_54285_78234,PER_54285_78234,Pates (or Patous),Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_223_11272_62895_70046_75676_77898_77921_79405_116633_117840_117842_331095_351314_430888,PER_223_11272_62895_70046_75676_77898_77921_79405_116633_117840_117842_331095_351314_430888,Pakebkis,Male
PER_267_46307_46309_51490_74642_79408_116632_117847,PER_267_46307_46309_51490_74642_79408_116632_117847,Sochotes,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_73601,PER_73601,Glauke,Female
PER_116590,PER_116590,P-enti-nechetet-shous,Male
PER_53861_54564_73592_73595_73602_76408,PER_53861_54564_73592_73595_73602_76408,Nechoutis,Female
PER_53728_73593_73594,PER_53728_73593_73594,Psenesis,Male
PER_54285_78234,PER_54285_78234,Pates (or Patous),Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_53728_73593_73594,PER_53728_73593_73594,Psenesis,Male
PER_53728_73593_73594,PER_53728_73593_73594,Psenesis,Male
PER_54285_78234,PER_54285_78234,Pates (or Patous),Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_53861_54564_73592_73595_73602_76408,PER_53861_54564_73592_73595_73602_76408,Nechoutis,Female
PER_54452_73543_78230,PER_54452_73543_78230,Pates,Male
PER_53728_73593_73594,PER_53728_73593_73594,Psenesis,Male
PER_54285_78234,PER_54285_78234,Pates (or Patous),Male
PER_53861_54564_73592_73595_73602_76408,PER_53861_54564_73592_73595_73602_76408,Nechoutis,Female
PER_7902,PER_7902,Hermippos,Male
PER_65557,PER_65557,Kriton,Male
PER_12899,PER_12899,Ptolemaios,Male
PER_65558,PER_65558,Ptolemaios,Male
PER_10094,PER_10094,Lysanias,Male
PER_65559,PER_65559,Hieronymos,Male
PER_13766,PER_13766,Sokrates,Male
PER_65560,PER_65560,Nikandros,Male
PER_7843,PER_7843,Hermes,Male
PER_65561,PER_65561,Demetrios,Male
PER_6463,PER_6463,Asenous,Male
PER_41662,PER_41662,Lykophron,Male
PER_7039,PER_7039,Didymos,Male
PER_65562,PER_65562,Apollonios,Male
PER_9742,PER_9742,Kleio,Female
PER_65563,PER_65563,Ktesion,Male
PER_6857,PER_6857,Demetria,Female
PER_65564,PER_65564,Lysimachos,Male
PER_14371,PER_14371,Tryphonis,Female
PER_65565,PER_65565,Nikanor,Male
PER_70325,PER_70325,Tryphon,Male
PER_379_19628,PER_379_19628,Chesthotes,Male
PER_384_19629,PER_384_19629,Harpaesis alias Melipais,Male
PER_19630,PER_19630,Senpoeris,Female
PER_378_65566_75620,PER_378_65566_75620,Sebtitis,Female
PER_19319_57952_72266_328763,PER_19319_57952_72266_328763,Harsiesis,Male
PER_72765,PER_72765,Taesis,Female
PER_436_19345,PER_436_19345,Thotortaios,Male
PER_440,PER_440,Nechtminis,Male
PER_46252,PER_46252,Pahyris,Male
PER_46253,PER_46253,Anch-seni,Male
PER_46254,PER_46254,Horos,Male
PER_46255,PER_46255,Thotortaios,Male
PER_46256,PER_46256,Nechtminis,Male
PER_46257,PER_46257,Thotortaios,Male
PER_46258,PER_46258,Esnebonychos,Male
PER_46259,PER_46259,Thotomous,Male
PER_46260,PER_46260,Patous,Male
PER_46261,PER_46261,Sihyris,Male
PER_46262,PER_46262,Pelaias,Male
PER_46263,PER_46263,Thotortaios,Male
PER_46264,PER_46264,Peteharsomtous,Male
PER_46265,PER_46265,Siepmous,Male
PER_46266,PER_46266,Harsiesis,Male
PER_46267,PER_46267,Patous,Male
PER_46268,PER_46268,Thotortaios,Male
PER_46269,PER_46269,Semtheus,Male
PER_46270,PER_46270,Harpaesis,Male
PER_46271,PER_46271,Thotmenis,Male
PER_46272,PER_46272,Peteharsomtous,Male
PER_46273,PER_46273,Psenesis,Male
PER_46274,PER_46274,Pelaias,Male
PER_46275,PER_46275,Esnebonychos,Male
PER_46276,PER_46276,Peteharsomtous,Male
PER_46277,PER_46277,Pa-??,Male
PER_46278,PER_46278,Esminis,Male
PER_46279,PER_46279,Nechtminis,Male
PER_46280,PER_46280,Onnophris,Male
PER_46281,PER_46281,Psenminis,Male
PER_46282,PER_46282,Nechtharmais,Male
PER_46283,PER_46283,Peteharsomtous,Male
PER_378_65566_75620,PER_378_65566_75620,Sebtitis,Female
PER_75621,PER_75621,Psenpres,Male
